ID	Population	Taxon	HWe	HW	IFW1	IFW2	HL1	HL2	ScL	EL	Om	WL	PL	PPL	GL	HFL	PrW	hw1	hw2	hw3	CI	FLI	SI	notch	EI	FLD	CEI
serico100	MAR	MAR	0.93	0.868	0.625	0.24	0.88	0.78	0.66	0.176	9	1.178	0.225	0.24	0.9	0.93	0.64	0.95	1.05	0.66	105.68	67.2	70.97	0.1	18.92	0.39	10.75
serico101	MAR	MAR	0.95	0.96	0.64	0.198	0.88	0.8	0.675	0.176	9	1.2	0.225	0.208	0.85	1	0.66	0.975	1.025	0.625	107.95	67.37	71.05	0.08	18.53	0.44	8.42
serico102	MAR	MAR	0.8	0.8	0.512	0.208	0.775	0.675	0.575	0.126	8	1.025	0.224	0.208	0.72	0.82	0.55	0.75	0.825	0.56	103.23	64	71.88	0.1	15.75	0.3	12.5
serico103	MAR	MAR	0.95	0.95	0.64	0.224	0.925	0.825	0.672	0.196	11	1.275	0.25	0.225	0.868	1	0.64	0.925	1.05	0.675	102.7	67.37	70.74	0.1	20.63	0.42	10.53
serico104	MAR	MAR	0.9	0.875	0.6	0.208	0.875	0.8	0.651	0.175	10	1.175	0.208	0.192	0.832	0.975	0.64	0.899	0.992	0.64	102.86	66.67	72.33	0.08	19.44	0.39	8.33
serico105	MAR	MAR	0.925	0.925	0.625	0.224	0.9	0.8	0.65	0.176	10	1.2	0.25	0.2	0.825	0.98	0.64	0.899	0.992	0.624	102.78	67.57	70.27	0.1	19.03	0.4	10.81
serico106	MAR	MAR	0.899	0.899	0.625	0.24	0.875	0.8	0.65	0.16	8	1.125	0.26	0.176	0.837	1	0.62	0.9	0.975	0.592	102.74	69.52	72.3	0.08	17.8	0.39	8.34
serico107	MAR	MAR	0.93	0.899	0.64	0.24	0.899	0.806	0.651	0.153	9	1.225	0.24	0.2	0.88	0.975	0.651	0.899	0.992	0.651	103.45	68.82	70	0.09	16.45	0.4	10
serico108	MAR	MAR	0.8	0.78	0.544	0.208	0.768	0.704	0.6	0.144	8	1.025	0.225	0.171	0.76	0.85	0.528	0.76	0.82	0.54	104.17	68	75	0.06	18	0.34	8
serico109	MAR	MAR	0.95	1	0.65	0.224	0.92	0.82	0.651	0.171	10	1.178	0.28	0.22	0.85	1.04	0.66	0.92	1.04	0.72	103.26	68.42	68.53	0.1	18	0.43	10.53
serico110	MAR	MAR	0.95	0.975	0.66	0.224	0.95	0.825	0.713	0.162	10	1.147	0.31	0.25	0.868	1.075	0.64	0.975	1.025	0.675	100	69.47	75.05	0.13	17.05	0.44	13.16
serico111	MAR	MAR	0.93	0.899	0.64	0.25	0.899	0.806	0.713	0.153	10	1.2	0.275	0.25	0.925	1.04	0.68	1.2	1.05	0.75	103.45	68.82	76.67	0.09	16.45	0.39	10
serico112	MAR	MAR	0.94	0.94	0.672	0.256	0.9	0.8	0.68	0.182	10	1.209	0.248	0.217	0.875	1.02	0.64	0.96	1.05	0.7	104.44	71.49	72.34	0.1	19.36	0.42	10.64
serico113	MAR	MAR	0.975	1	0.68	0.24	0.93	0.806	0.725	0.162	11	1.209	0.26	0.2	0.95	1.023	0.713	0.93	1.054	0.682	104.84	69.74	74.36	0.12	16.62	0.44	12.72
serico114	MAR	MAR	0.95	0.95	0.66	0.24	0.93	0.806	0.651	0.162	10	1.209	0.279	0.207	0.875	1.025	0.66	0.96	1.04	0.6	102.15	69.47	68.53	0.12	17.05	0.42	13.05
serico115	MAR	MAR	0.92	0.96	0.66	0.24	0.9	0.8	0.7	0.182	9	1.24	0.272	0.192	0.899	1.054	0.62	0.96	1.04	0.6	102.22	71.74	76.09	0.1	19.78	0.42	10.87
serico116	MAR	MAR	0.93	0.93	0.68	0.24	0.93	0.806	0.72	0.162	10	1.225	0.275	0.2	0.868	1.04	0.62	0.93	1.023	0.651	100	73.12	77.42	0.12	17.42	0.44	13.33
serico117	MAR	MAR	0.899	0.899	0.66	0.24	0.93	0.775	0.68	0.175	10	1.24	0.28	0.2	0.92	1.06	0.675	0.93	1.054	0.625	96.67	73.41	75.64	0.16	19.47	0.42	17.24
serico118	MAR	MAR	0.96	0.96	0.64	0.22	0.9	0.775	0.64	0.175	10	1.147	0.272	0.22	0.868	1	0.68	0.93	1.023	0.7	106.67	66.67	66.67	0.13	18.23	0.42	13.02
serico119	MAR	MAR	0.899	0.899	0.585	0.208	0.899	0.806	0.68	0.184	10	1.178	0.26	0.22	0.837	1	0.64	0.899	0.992	0.656	100	65.07	75.64	0.09	20.47	0.38	10.34
serico120	MAR	MAR	0.96	0.96	0.64	0.224	0.9	0.8	0.66	0.175	10	1.225	0.275	NA	NA	1	0.68	0.95	1.075	0.688	106.67	66.67	68.75	0.1	18.23	0.42	10.42
serico121	MAR	MAR	0.96	0.96	0.624	0.21	0.9	0.8	0.675	0.162	10	1.209	0.256	0.18	0.92	1.025	0.651	0.896	1.02	0.62	106.67	65	70.31	0.1	16.88	0.41	10.42
serico122	MAR	MAR	0.96	0.96	0.64	0.224	0.9	0.82	0.7	0.176	11	1.2	0.28	0.16	0.88	0.992	0.7	0.9	1.02	0.6	106.67	66.67	72.92	0.08	18.33	0.42	8.33
serico123	MAR	MAR	0.94	0.94	0.625	0.22	0.9	0.825	0.675	0.175	11	1.178	0.26	0.16	0.88	0.992	0.66	0.92	0.975	0.625	104.44	66.49	71.81	0.08	18.62	0.41	7.98
serico124	MAR	MAR	0.9	0.9	0.608	0.24	0.82	0.76	0.64	0.168	10	1.16	0.22	0.2	0.806	0.899	0.625	0.84	0.93	0.6	109.76	67.56	71.11	0.06	18.67	0.37	6.67
serico125	MAR	MAR	0.9	0.9	0.608	0.24	0.86	0.76	0.688	0.176	9	1.1	0.22	0.18	0.85	0.93	0.6	0.875	0.975	0.624	104.65	67.56	76.44	0.1	19.56	0.37	11.11
serico126	MAR	MAR	0.9	0.9	0.608	0.224	0.85	0.75	0.65	0.144	10	1.16	0.224	0.2	0.85	0.96	0.6	0.9	0.975	0.608	105.88	67.56	72.22	0.1	16	0.38	11.11
serico127	MAR	MAR	0.88	0.88	0.576	0.192	0.8	0.74	0.6	0.135	10	1.116	0.3	0.225	0.84	0.95	0.6	0.82	0.95	0.608	110	65.45	68.18	0.06	15.34	0.38	6.82
